PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
1900167,PSAL,20030719,,3,frozen profile,AO
1900167,TEMP,20030719,,3,frozen profile,AO
1900168,PSAL,20030608,,3,frozen profile,AO
1900168,TEMP,20030608,,3,frozen profile,AO
1900201,PRES,20070302,,3,potential problem with bin assignment,AO
1900432,PRES,20071129,,3,sensor problem,AO
1900432,PSAL,20071129,,3,sensor problem,AO
1900432,TEMP,20071129,,3,sensor problem,AO
1900527,PRES,20050626,,3,potential problem with bin assignment,AO
1900528,PSAL,20070608,,3,sensor problem,AO
1900528,TEMP,20070608,,3,sensor problem,AO
1900531,PRES,20050810,,3,potential problem with bin assignment,AO
1900533,PRES,20050810,,3,potential problem with bin assignment,AO
1900534,PRES,20050812,,3,potential problem with bin assignment,AO
1900561,PRES,20050912,,3,potential problem with bin assignment,AO
1900562,PRES,20050920,,3,potential problem with bin assignment,AO
1900563,PRES,20050921,,3,potential problem with bin assignment,AO
1900566,PRES,20050924,,3,potential problem with bin assignment,AO
1900567,PRES,20051016,,3,potential problem with bin assignment,AO
1900573,PSAL,20060319,,3,salinity drift,AO
1900582,PSAL,20060209,,4,sensor problem,AO
1900582,TEMP,20060209,,4,sensor problem,AO
1900635,PRES,20060127,,3,potential problem with bin assignment,AO
1900636,PRES,20060128,,3,potential problem with bin assignment,AO
1900637,PRES,20060129,,3,potential problem with bin assignment,AO
1900639,PRES,20060128,,3,potential problem with bin assignment,AO
1900641,PRES,20051010,,3,potential problem with bin assignment,AO
1900643,PRES,20050929,,3,potential problem with bin assignment,AO
1900645,PRES,20060207,,3,potential problem with bin assignment,AO
1900646,PRES,20060208,,3,potential problem with bin assignment,AO
1900688,PRES,20060218,,3,potential problem with bin assignment,AO
1900690,PRES,20060220,,3,potential problem with bin assignment,AO
1900702,PRES,20060508,,3,potential problem with bin assignment,AO
1900703,PRES,20060509,,3,potential problem with bin assignment,AO
1900704,PRES,20060510,,3,potential problem with bin assignment,AO
1900707,PRES,20060602,,3,potential problem with bin assignment,AO
1900710,PRES,20060607,,3,potential problem with bin assignment,AO
1900727,PRES,20150612,,3,sensor problems,AO
1900727,PSAL,20150612,,3,sensor problems,AO
1900727,TEMP,20150612,,3,sensor problems,AO
1900734,PSAL,20060811,,4,sensor failure,AO
1900734,TEMP,20060811,,4,sensor failure,AO
1900951,PSAL,20140409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900953,PSAL,20140409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900954,PSAL,20140413,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900957,PSAL,20141101,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900958,PSAL,20141103,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900959,PSAL,20150413,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900960,PSAL,20150414,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900961,PSAL,20150418,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900976,PRES,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,PSAL,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,TEMP,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1901369,PSAL,20131001,,4,salinity sensor problem,AO
1901396,PSAL,20110910,,4,salinity calibration jump,AO
1901397,PSAL,20110713,,4,salinity calibration jump,AO
1901410,PSAL,20170818,,4,sensor problem,AO
1901504,PSAL,20140531,,4,sensor problem,AO
1901504,TEMP,20140531,,4,sensor problem,AO
1901514,PRES,20141102,,4,beached float,AO
1901514,PSAL,20141102,,4,beached float,AO
1901514,TEMP,20141102,,4,beached float,AO
1901519,PSAL,20151026,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901520,PSAL,20151023,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901521,PSAL,20151101,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901522,PSAL,20160610,,3,sensor problem,AO
1901522,TEMP,20160610,,3,sensor problem,AO
1901646,PRES,20181024,,4,frozen profiles,AO
1901646,PSAL,20181024,,4,frozen profiles,AO
1901646,TEMP,20181024,,4,frozen profiles,AO
1901647,PRES,20181028,,4,frozen profile,AO
1901647,PSAL,20181028,,4,frozen profile,AO
1901647,TEMP,20181028,,4,frozen profile,AO
1901650,PRES,20190212,,3,low voltage effecting sensor readings.,AO
1901650,PSAL,20190212,,3,low voltage effecting sensor readings.,AO
1901650,TEMP,20190212,,3,low voltage effecting sensor readings.,AO
1901667,PRES,20180424,,4,frozen profile,AO
1901667,PSAL,20180424,,4,frozen profile,AO
1901667,TEMP,20180424,,4,frozen profile,AO
1901681,PRES,20170204,,4,frozen profile,AO
1901681,PSAL,20170204,,4,frozen profile,AO
1901681,TEMP,20170204,,4,frozen profile,AO
1901685,PRES,20160404,,4,frozen profile due to low voltage,AO
1901685,PSAL,20160404,,4,frozen profile due to low voltage,AO
1901685,TEMP,20160404,,4,frozen profile due to low voltage,AO
1901696,PSAL,20140419,,4,salinity sensor problem,AO
1901708,PSAL,20140304,,4,sensor problem,AO
1901715,PSAL,20160813,,4,salinity drift,AO
1901717,PSAL,20181126,,4,bad sensor,AO
1901728,PSAL,20140913,,4,psal offset,AO
1901731,PSAL,20150914,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901732,PSAL,20160723,,3,sensor problem,AO
1901733,PSAL,20161020,,4,sensor problem,AO
1901784,PSAL,20170319,,4,sensor problem,AO
1901785,PSAL,20150907,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901796,PSAL,20160603,,4,sensor problem,AO
1901800,PSAL,20160222,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901803,PSAL,20170322,,4,sensor drift,AO
1901832,PSAL,20190913,,4,sensor problem,AO
1901834,PSAL,20160512,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901839,PSAL,20190807,,4,sensor problem,AO
1902024,PSAL,20190103,,3,sensor problem,AO
1902025,PRES,20190414,,4,sensor problem,AO
1902025,PSAL,20190414,,4,sensor problem,AO
1902025,TEMP,20190414,,4,sensor problem,AO
1902181,PSAL,20171117,,4,pump failure,AO
1902207,PSAL,20180321,,3,sensor problem,AO
2900090,PSAL,20050523,,3,sensor drift,AO
2900368,PRES,20061129,,4,pressure sensor problem,AO
2900368,PSAL,20061129,,3,pressure sensor problem,AO
2900368,TEMP,20061129,,3,pressure sensor problem,AO
2900385,PRES,20080213,,3,sensor problem,AO
2900385,PSAL,20080213,,3,sensor problem,AO
2900385,TEMP,20080213,,3,sensor problem,AO
2900801,PRES,20080205,,3,sensor problem,AO
2900801,PSAL,20080205,,3,sensor problem,AO
2900801,TEMP,20080205,,3,sensor problem,AO
2900803,PRES,20080220,,3,sensor problem,AO
2900803,PSAL,20080220,,3,sensor problem,AO
2900803,TEMP,20080220,,3,sensor problem,AO
2901406,PSAL,20130411,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901438,PRES,20140406,,4,sensor problem,AO
2901438,PSAL,20140406,,4,sensor problem,AO
2901438,TEMP,20140406,,4,sensor problem,AO
2901448,PSAL,20130412,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901449,PSAL,20130412,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901450,PSAL,20130428,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901464,PSAL,20131215,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901467,PSAL,20140812,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901471,PSAL,20141126,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
